№	Card name
1	Angel of the Dire Hour
2	Angelic Field Marshal
3	Benevolent Offering
4	Comeuppance
5	Containment Priest
6	Deploy to the Front
7	Fell the Mighty
8	Hallowed Spiritkeeper
9	Jazal Goldmane
10	Nahiri, the Lithomancer
11	Æther Gale
12	Breaching Leviathan
13	Domineering Will
14	Dulcet Sirens
15	Intellectual Offering
16	Reef Worm
17	Stitcher Geralf
18	Stormsurge Kraken
19	Teferi, Temporal Archmage
20	Well of Ideas
21	Demon of Wailing Agonies
22	Flesh Carver
23	Ghoulcaller Gisa
24	Infernal Offering
25	Malicious Affliction
26	Necromantic Selection
27	Ob Nixilis of the Black Oath
28	Overseer of the Damned
29	Raving Dead
30	Spoils of Blood
31	Wake the Dead
32	Bitter Feud
33	Daretti, Scrap Savant
34	Dualcaster Mage
35	Feldon of the Third Path
36	Impact Resonance
37	Incite Rebellion
38	Scrap Mastery
39	Tyrant's Familiar
40	Volcanic Offering
41	Warmonger Hellkite
42	Creeperhulk
43	Freyalise, Llanowar's Fury
44	Grave Sifter
45	Lifeblood Hydra
46	Siege Behemoth
47	Song of the Dryads
48	Sylvan Offering
49	Thunderfoot Baloth
50	Titania, Protector of Argoth
51	Wave of Vitriol
52	Wolfcaller's Howl
53	Assault Suit
54	Commander's Sphere
55	Crown of Doom
56	Loreseeker's Stone
57	Masterwork of Ingenuity
58	Unstable Obelisk
59	Arcane Lighthouse
60	Flamekin Village
61	Myriad Landscape
62	Artisan of Kozilek
63	Adarkar Valkyrie
64	Afterlife
65	Armistice
66	Brave the Elements
67	Cathars' Crusade
68	Celestial Crusader
69	Condemn
70	Decree of Justice
71	Flickerwisp
72	Geist-Honored Monk
73	Gift of Estates
74	Grand Abolisher
75	Kemba, Kha Regent
76	Kor Sanctifiers
77	Marshal's Anthem
78	Martial Coup
79	Mentor of the Meek
80	Midnight Haunting
81	Mobilization
82	Nomads' Assembly
83	Oblation
84	Requiem Angel
85	Return to Dust
86	Sacred Mesa
87	Serra Avatar
